1,361;0,002
1,371;0,003
1,381;0,002
1,391;0,003
1,401;0
1,411;0,004
1,421;0,003
1,431;0,004
1,441;0,001
1,451;0,004
1,461;0,002
1,471;0,003
1,481;0,003
1,491;0,002
1,501;0,002
1,511;0,003
1,521;0,003
1,531;0,001
1,541;0
1,551;0,003
1,561;0,003
1,571;0,002
1,581;0,004
1,591;0,002
1,601;0,002
1,611;0,004
1,621;0,002
1,631;0,002
1,641;0,002
1,651;0,003
1,661;0
1,671;0,001
1,681;0,004
1,691;0,003
1,701;0,001
1,711;0,004
1,721;0,002
1,731;0,001
1,741;0,005
1,751;0,001
1,761;0,003
1,771;0,002
1,781;0,004
1,791;0,002
1,801;0,003
1,821;0,004
1,831;0
1,841;0,005
1,851;0,003
1,861;0,003
1,871;0,002
1,881;0,005
1,891;0,002
1,901;0,005
1,911;0,003
1,921;0,006
1,931;0,001
1,941;0,007
1,951;0,002
1,961;0,004
1,971;0,003
1,981;0,006
1,991;0
2,001;0,005
2,011;0,002
2,021;0,006
2,031;0,003
2,041;0,006
2,051;0,003
2,061;0,003
2,071;0,004
2,081;0,005
2,091;0
2,101;0,004
2,111;0,003
2,121;0,005
2,131;0,003
2,141;0,003
2,151;0
2,161;0,003
2,171;0,004
2,181;0,004
2,191;0
2,201;0,004
2,211;0,003
2,221;0,004
2,231;0,004
2,241;0,003
2,261;0,004
2,281;0,002
2,291;0,001
2,301;0,004
2,311;0,004
2,321;0,003
2,331;0,005
2,341;0,003
2,351;0,003
2,361;0,005
2,371;0,003
2,381;0,004
2,391;0,003
2,401;0,004
2,411;0,002
2,431;0,005
2,441;0,004
2,451;0,002
2,461;0,004
2,471;0,003
2,481;0,002
2,491;0,005
2,501;0,002
2,511;0,003
2,521;0,002
2,531;0,005
2,541;0,002
2,551;0,004
2,561;0,004
2,571;0,005
2,581;0,001
2,591;0,007
2,601;0,004
2,611;0,004
2,621;0,003
2,631;0,006
2,641;0,003
2,651;0,006
2,661;0,003
2,671;0,006
2,681;0,002
2,691;0,008
2,701;0,003
2,711;0,005
2,721;0,003
2,731;0,006
2,741;0,001
2,751;0,006
2,761;0,002
2,771;0,006
2,781;0,003
2,791;0,007
2,801;0,003
2,811;0,003
2,821;0,005
2,831;0,006
2,841;0
2,851;0,003
2,861;0,002
2,871;0,004
2,881;0,004
2,891;0,004
2,901;0,001
2,911;0,004
2,921;0,004
2,931;0,005
2,941;0,001
2,951;0,004
2,961;0,003
2,971;0,003
2,981;0,003
2,991;0,003
